id,job_title,job_description,category
12,"NLP Engineer","We are hiring an NLP Engineer to develop natural language processing solutions for our AI products. You will fine-tune large language models using Hugging Face Transformers, build text classification and information extraction pipelines, and deploy models as scalable APIs on AWS. Deep understanding of BERT, GPT architectures, tokenization, and attention mechanisms is required. Experience with Python, PyTorch, and MLflow for experiment tracking is essential. You will collaborate with product teams to define NLP use cases and with data engineers to build robust training data pipelines. A background in computational linguistics or NLP research is a strong plus.","Machine Learning Engineer"
13,"Site Reliability Engineer","Our infrastructure team is looking for a Site Reliability Engineer to ensure the reliability and performance of our production systems. You will own SLA/SLO definitions, build observability stacks with Prometheus, Grafana, and OpenTelemetry, and automate operational tasks using Python and Bash. Deep knowledge of Kubernetes, Linux internals, and networking is required. Experience with incident management, post-mortem processes, and chaos engineering practices is highly valued. You will work closely with software engineers to improve system resilience and reduce toil. 4+ years of SRE or senior DevOps experience is expected.","DevOps Engineer"
14,"Frontend Web Developer","We are seeking a talented Frontend Web Developer to craft exceptional user experiences for our SaaS platform. You will build performant, accessible web UIs using React, Next.js, and CSS-in-JS libraries such as Styled Components. Strong knowledge of JavaScript/TypeScript, browser APIs, and web performance optimization techniques is required. Experience with GraphQL clients like Apollo, and state management using Redux or Zustand is a plus. You will collaborate with product designers using Figma and work within an Agile sprint cycle. A passion for pixel-perfect implementation and a strong eye for design detail are essential.","Web Developer"
15,"Cloud Security Engineer","We are seeking a Cloud Security Engineer to safeguard our AWS and Azure infrastructure. You will design and implement security controls including IAM policies, security groups, network ACLs, and encryption at rest and in transit. Experience with cloud security frameworks such as CIS Benchmarks, AWS Well-Architected, and NIST is required. You will conduct threat modeling, perform cloud penetration tests, and respond to security alerts from AWS GuardDuty and Microsoft Defender. Strong scripting skills in Python or Bash for security automation are expected. CCSP or AWS Security Specialty certification is a strong advantage.","Cyber Security Analyst"
16,"Junior Data Analyst","We are looking for a Junior Data Analyst to support our business intelligence team. You will extract and transform data using SQL and Python, build dashboards in Tableau and Power BI, and prepare reports for business stakeholders. Familiarity with Excel for ad-hoc analysis and basic understanding of statistics is required. You will work with senior analysts to define KPIs and data models, and help maintain our data warehouse on Snowflake. Strong communication skills and attention to detail are essential. This role is ideal for recent graduates with a quantitative background looking to launch their data career.","Data Scientist"
17,"Platform Engineer","We are hiring a Platform Engineer to build and operate our internal developer platform. You will design self-service tooling for teams to provision infrastructure on AWS using Terraform and Pulumi, and manage our Kubernetes-based deployment platform. Experience with GitOps practices, ArgoCD, and Helm charts is required. You will define platform standards, write runbooks, and drive adoption of best practices across engineering teams. Proficiency in Go or Python for building internal tooling is expected. A passion for developer experience and reducing friction in software delivery is key to success in this role.","Cloud Engineer"
18,"Machine Learning Research Engineer","We are looking for a Machine Learning Research Engineer to advance our AI capabilities. You will conduct applied research in areas such as recommendation systems, anomaly detection, and computer vision using PyTorch and TensorFlow. You will implement and evaluate novel model architectures, run large-scale experiments on GPU clusters, and publish findings internally. Strong mathematical foundations in linear algebra, probability, and optimization are required. Experience with distributed training frameworks such as Horovod or DeepSpeed is a plus. You will collaborate with product engineers to transition research prototypes into production. A PhD or Master's in ML or related field is preferred.","Machine Learning Engineer"
19,"Scrum Master / Business Analyst","We are seeking a combined Scrum Master and Business Analyst to support our digital transformation projects. You will facilitate daily standups, sprint planning, and retrospectives for cross-functional teams, and document business requirements and user stories in JIRA and Confluence. Proficiency in process modeling using BPMN and experience with stakeholder management are required. Familiarity with SQL for data queries and tools like Lucidchart for workflow diagrams is valued. You will help product owners prioritize backlogs and ensure alignment between business objectives and technical delivery. CSM or CSPO certification is a strong plus.","Business Analyst"
20,"AWS Cloud Architect","We are looking for an AWS Cloud Architect to design and govern our enterprise cloud strategy. You will create reference architectures for multi-account AWS environments, define standards for VPC design, IAM governance, and cost optimization. Deep expertise in AWS services including EC2, Lambda, ECS, RDS, DynamoDB, and CloudFront is required. Experience with Terraform and AWS CDK for infrastructure-as-code and knowledge of FinOps practices is highly valued. You will lead cloud migration projects, conduct architecture reviews, and mentor cloud engineers. AWS Certified Solutions Architect Professional certification is required.","Cloud Engineer"
21,"Software Engineer – Java","We are hiring a Software Engineer with strong Java expertise to join our enterprise software team. You will design and develop backend components using Java 17, Spring Boot, and Hibernate, and integrate with Oracle and PostgreSQL databases. Experience with message-driven architectures using Apache Kafka or RabbitMQ is required. Familiarity with Docker, Jenkins for CI/CD, and basic knowledge of Kubernetes for deployment is expected. You will participate in Agile ceremonies, conduct peer code reviews, and contribute to technical design documentation. 3+ years of Java development experience in a professional environment is required.","Software Engineer"
22,"Data Engineer","We are looking for a Data Engineer to build and maintain our data infrastructure. You will design scalable ETL/ELT pipelines using Apache Spark, dbt, and Airflow, and manage data lakes on AWS S3 and data warehouses on Snowflake or Redshift. Strong SQL skills and proficiency in Python for pipeline development are required. Experience with streaming data ingestion using Kafka or Kinesis is a plus. You will collaborate with data scientists to provide clean, reliable datasets for model training and with business analysts to support reporting needs. 3+ years of data engineering experience is expected.","Data Scientist"
23,"Penetration Tester","We are seeking an experienced Penetration Tester to assess the security posture of our applications and infrastructure. You will conduct black-box and white-box penetration tests on web applications, APIs, and network infrastructure, using tools such as Burp Suite, Metasploit, and Nmap. Strong knowledge of OWASP Top 10, CVE databases, and exploit development fundamentals is required. You will write comprehensive technical reports with risk ratings and remediation recommendations. Experience with cloud environments (AWS, Azure) and container security testing is a plus. OSCP or CEH certification is strongly preferred.","Cyber Security Analyst"
24,"React Developer","We are hiring a React Developer to build dynamic web interfaces for our B2B SaaS product. You will create reusable component libraries, implement responsive layouts, and integrate with RESTful and GraphQL APIs. Proficiency in React, TypeScript, and testing libraries such as Jest and React Testing Library is required. Experience with CI/CD pipelines, Docker for local development, and deployment on AWS Amplify or Vercel is a plus. You will work closely with backend engineers and UX designers to deliver high-quality features on a regular release cadence. A strong portfolio of React projects is highly valued.","Web Developer"
25,"MLOps Engineer","We are seeking an MLOps Engineer to streamline the deployment and monitoring of machine learning models in production. You will build ML pipelines using Kubeflow or MLflow, manage model registries, and automate retraining workflows triggered by data drift. Strong experience with Docker, Kubernetes, and cloud platforms such as AWS SageMaker or GCP Vertex AI is required. Proficiency in Python and familiarity with CI/CD tools like GitLab CI and Jenkins is expected. You will collaborate with data scientists to define model serving strategies and with DevOps teams on infrastructure reliability. 3+ years in MLOps or ML infrastructure roles is preferred.","Machine Learning Engineer"
26,"Information Security Analyst","We are looking for an Information Security Analyst to strengthen our security operations. You will analyze threat intelligence feeds, investigate security alerts in Splunk, and coordinate incident response activities. Experience with endpoint detection tools, firewall rule management, and network traffic analysis using Wireshark is required. You will conduct security awareness training, perform risk assessments, and support compliance audits for SOC 2 and ISO 27001 frameworks. Familiarity with scripting in Python or PowerShell for security automation is a strong plus. CompTIA Security+ or CISM certification is preferred.","Cyber Security Analyst"
27,"Senior Cloud Engineer – Azure","We are hiring a Senior Cloud Engineer to lead our Azure infrastructure initiatives. You will architect and deploy cloud solutions using Azure services including AKS, Azure SQL, Cosmos DB, Service Bus, and Azure Monitor. Deep knowledge of ARM templates, Bicep, and Terraform for infrastructure-as-code is required. Experience with Azure DevOps pipelines, networking concepts, and hybrid cloud connectivity via ExpressRoute is expected. You will define governance policies, manage cost budgets, and provide technical leadership to a team of cloud engineers. Azure Solutions Architect Expert certification is strongly preferred.","Cloud Engineer"
28,"Systems Analyst","We are seeking a Systems Analyst to analyze and optimize our enterprise IT systems. You will gather requirements from stakeholders, document AS-IS and TO-BE process flows, and work with developers to implement system changes. Proficiency in SQL for data analysis and reporting, and experience with ERP systems such as SAP or Oracle is required. Familiarity with JIRA for project tracking and MS Visio or Lucidchart for process diagrams is expected. You will liaise between business units and IT teams to ensure solutions meet functional requirements and business objectives. Strong analytical and communication skills are essential.","Business Analyst"
29,"Python Software Engineer","We are looking for a Python Software Engineer to develop backend services and data pipelines for our analytics platform. You will build RESTful APIs using FastAPI or Flask, design database schemas in PostgreSQL, and integrate with third-party services via webhooks and event queues. Experience with asynchronous programming, Celery for task queues, and Redis for caching is required. Familiarity with Docker and deployment on AWS using ECS or Lambda is a strong plus. You will write comprehensive tests using pytest and participate in regular code reviews and architecture discussions. 2–4 years of Python development experience expected.","Software Engineer"
30,"Computer Vision Engineer","We are hiring a Computer Vision Engineer to develop image and video analysis solutions. You will design and train deep learning models for object detection, image segmentation, and facial recognition using PyTorch and OpenCV. Experience with transfer learning, data augmentation, and model quantization for edge deployment is required. You will deploy models as APIs using FastAPI and Docker, and optimize inference performance on GPU hardware. Familiarity with MLflow for experiment tracking and AWS for cloud-based training pipelines is a plus. A portfolio of CV projects or published research is highly valued.","Machine Learning Engineer"
31,"DevOps Engineer – CI/CD Specialist","We are seeking a DevOps Engineer specializing in CI/CD to accelerate our software delivery process. You will design and maintain pipelines in GitHub Actions, GitLab CI, and Jenkins, and manage artifact repositories in JFrog Artifactory or Nexus. Strong experience with Docker, Helm, and Kubernetes for containerized deployments is required. You will implement automated testing gates, manage secrets with HashiCorp Vault, and monitor pipelines with Datadog. Experience with Terraform for cloud provisioning on AWS is expected. You will mentor development teams on CI/CD best practices and DevSecOps principles. 3+ years of relevant experience required.","DevOps Engineer"
32,"Shopify / E-Commerce Developer","We are looking for a Web Developer with e-commerce experience to build and maintain our Shopify-based online store. You will customize Shopify themes using Liquid, HTML, CSS, and JavaScript, and develop custom apps using the Shopify API and Node.js. Experience with React for headless commerce implementations and GraphQL for Shopify Storefront API queries is a plus. You will integrate third-party tools for payments, analytics, and marketing automation, and optimize site performance for Core Web Vitals. Familiarity with A/B testing frameworks and SEO best practices is expected. 2+ years of Shopify development experience required.","Web Developer"
33,"Senior Business Analyst – Financial Services","We are hiring a Senior Business Analyst with a financial services background to support digital banking projects. You will lead requirements gathering workshops, produce detailed functional and non-functional specifications, and manage traceability matrices. Strong knowledge of financial products, regulatory frameworks such as PSD2 and GDPR, and experience with core banking systems is required. Proficiency in SQL and data analysis, and familiarity with BI tools like Tableau or Qlik is expected. You will present complex findings to senior stakeholders and act as the liaison between business and IT delivery teams. CBAP certification is a strong advantage.","Business Analyst"
34,"Kubernetes Administrator","We are seeking a Kubernetes Administrator to manage and scale our container orchestration platform. You will maintain multi-cluster Kubernetes environments, manage workloads using Helm, and configure networking with Istio service mesh. Strong knowledge of Kubernetes internals, RBAC, persistent storage, and resource management is required. Experience with monitoring using Prometheus and Grafana, and logging with ELK stack is expected. You will troubleshoot production incidents, apply security hardening, and contribute to platform automation using Python or Go. CKA or CKS certification is preferred. 4+ years of Kubernetes administration experience required.","DevOps Engineer"
35,"Junior Machine Learning Engineer","We are looking for a Junior Machine Learning Engineer eager to build ML solutions in a collaborative team. You will assist in preparing datasets, training classification and regression models using scikit-learn and TensorFlow, and evaluating model performance. Basic experience with Python, Pandas, and NumPy is required. Exposure to Git and version control workflows is expected. You will shadow senior ML engineers in designing pipelines and learn deployment workflows using Docker and AWS. A strong academic background in computer science, mathematics, or statistics and hands-on project experience with ML are highly valued. This is a growth-oriented role.","Machine Learning Engineer"
36,"Data Warehouse Engineer","We are hiring a Data Warehouse Engineer to design and maintain our enterprise data warehouse. You will develop dimensional data models, build ELT pipelines using dbt and Python, and manage our Snowflake and Redshift environments. Strong SQL optimization skills and experience with large-scale data ingestion are required. Familiarity with Airflow for workflow orchestration and Kafka for streaming ingestion is a plus. You will collaborate with BI developers and data scientists to ensure data quality, timeliness, and governance. Experience with Terraform for cloud infrastructure and knowledge of GDPR data handling requirements are expected.","Data Scientist"
37,"Application Security Engineer","We are seeking an Application Security Engineer to embed security throughout our software development lifecycle. You will perform SAST and DAST scans using tools like SonarQube and OWASP ZAP, conduct threat modeling sessions, and provide secure code review guidance to development teams. Strong knowledge of web application vulnerabilities, authentication protocols (OAuth 2.0, SAML), and API security is required. Experience with DevSecOps pipelines integrating security tooling into CI/CD workflows is expected. Familiarity with cloud security on AWS and container security scanning tools like Trivy is a plus. OSCP or GWEB certification preferred.","Cyber Security Analyst"
38,"Software Architect","We are looking for a Software Architect to define technical strategy and guide engineering teams in building scalable, maintainable systems. You will create architectural blueprints for microservices and event-driven architectures, conduct technology evaluations, and establish coding and design standards. Deep expertise in distributed systems, API design, and cloud platforms such as AWS or GCP is required. Strong hands-on skills in Java or Python and experience with Kafka, gRPC, and service mesh technologies are expected. You will mentor senior engineers, lead architecture review boards, and collaborate with product leadership. 8+ years of engineering experience including 3+ in architecture roles.","Software Engineer"
39,"Azure Data Engineer","We are hiring an Azure Data Engineer to build and manage our cloud-based data platform. You will design and implement data pipelines using Azure Data Factory, Azure Databricks, and PySpark, and manage data lakes on Azure Data Lake Storage. Proficiency in SQL and Python for data transformation, and experience with Delta Lake format is required. You will configure monitoring and alerting using Azure Monitor and Log Analytics, and enforce data governance using Microsoft Purview. Experience with CI/CD for data pipelines using Azure DevOps is a plus. DP-203 or equivalent Azure Data Engineer certification is preferred.","Cloud Engineer"
40,"Embedded Systems Engineer","We are seeking an Embedded Systems Engineer to develop firmware for IoT and industrial devices. You will write low-level C and C++ code for microcontrollers, design communication protocols using UART, SPI, and I2C, and integrate RTOS systems such as FreeRTOS. Experience with debugging tools such as JTAG/SWD and oscilloscopes is required. Familiarity with Python scripting for test automation and experience with CI/CD pipelines for firmware builds is a plus. You will collaborate with hardware engineers on PCB design reviews and with cloud teams on MQTT-based IoT connectivity. 3+ years of embedded development experience expected.","Software Engineer"
41,"Senior DevOps Engineer","We are looking for a Senior DevOps Engineer to lead our infrastructure reliability and automation efforts. You will architect CI/CD pipelines, manage multi-region AWS deployments, and drive adoption of infrastructure-as-code using Terraform and CDK. Deep expertise in Kubernetes, Docker, and service mesh technologies like Istio is required. You will lead incident reviews, define SLIs/SLOs, and champion observability using Datadog and OpenTelemetry. Experience with security scanning in pipelines and cost optimization strategies for AWS is expected. You will mentor junior DevOps engineers and collaborate with engineering leadership. 6+ years of DevOps or infrastructure engineering experience required.","DevOps Engineer"
42,"NLP Data Scientist","We are seeking an NLP Data Scientist to develop text analytics solutions for our customer intelligence platform. You will build models for sentiment analysis, topic modeling, and intent detection using Python, spaCy, and Hugging Face Transformers. Experience with text preprocessing, feature extraction (TF-IDF, embeddings), and evaluation of NLP pipelines is required. Familiarity with SQL, Pandas, and cloud storage on AWS S3 for managing large text corpora is expected. You will design experiments, track results using MLflow, and communicate findings to non-technical stakeholders. A background in NLP, computational linguistics, or AI research is strongly preferred.","Data Scientist"
43,"Cloud Network Engineer","We are hiring a Cloud Network Engineer to design and manage network infrastructure across our AWS and GCP environments. You will configure VPCs, subnets, transit gateways, and Direct Connect links, and implement network security controls such as security groups and WAF rules. Strong knowledge of BGP, DNS, and load balancing using ALB and NLB is required. Experience with network automation using Python and Terraform is expected. You will monitor network performance using CloudWatch and resolve complex connectivity and latency issues. A background in enterprise networking (CCNP or equivalent) combined with cloud experience is highly valued.","Cloud Engineer"
44,"Junior Web Developer","We are looking for a Junior Web Developer to join our frontend team and help build engaging web experiences. You will write clean HTML, CSS, and JavaScript, implement designs from Figma mockups, and assist in building React components. Familiarity with Git for version control and basic REST API consumption is required. Exposure to responsive design principles and cross-browser testing is expected. You will receive mentorship from senior developers and have opportunities to learn modern frontend tooling including Webpack and Vite. A strong portfolio of personal or academic web projects will make your application stand out. Entry-level candidates are welcome.","Web Developer"
45,"Security Operations Center Analyst","We are seeking a SOC Analyst to monitor and respond to security threats in our 24/7 Security Operations Center. You will analyze alerts from SIEM platforms including Splunk and Microsoft Sentinel, triage incidents, and escalate high-severity threats. Strong knowledge of attack frameworks such as MITRE ATT&CK, and experience with network traffic analysis and log investigation is required. Familiarity with endpoint protection tools like CrowdStrike Falcon and vulnerability scanners such as Qualys is a plus. You will document incident timelines, support forensic investigations, and contribute to improving detection rules. Shift work required. CompTIA CySA+ or equivalent is preferred.","Cyber Security Analyst"
46,"Data Science Manager","We are looking for a Data Science Manager to lead a team of data scientists and analysts. You will define the team's roadmap, prioritize ML initiatives aligned with business strategy, and ensure technical quality of models in production. Deep hands-on expertise in Python, machine learning, and statistical modeling is required alongside strong people management skills. Experience with cloud-based ML platforms such as AWS SageMaker or Databricks, and familiarity with MLOps best practices is expected. You will present insights and model outcomes to the executive team and work cross-functionally with product, engineering, and marketing. 7+ years in data science with 2+ in management required.","Data Scientist"
47,"Vue.js Developer","We are hiring a Vue.js Developer to build and maintain our customer portal web application. You will develop interactive UI components using Vue 3 and Pinia, integrate with RESTful and GraphQL APIs, and write unit tests using Vitest. Strong knowledge of JavaScript/TypeScript, CSS frameworks like Tailwind CSS, and component-driven development is required. Experience with build tools such as Vite and deployment workflows using Docker and GitLab CI is a plus. You will participate in design reviews using Figma and contribute to the front-end architecture decisions. 2+ years of Vue.js or similar framework development experience is expected.","Web Developer"
48,"Business Intelligence Developer","We are seeking a Business Intelligence Developer to design and build analytical solutions for our organization. You will create complex SQL queries, develop dimensional models, and build interactive dashboards in Power BI and Tableau. Experience with Snowflake or BigQuery as the underlying data platform is required. Familiarity with DAX for Power BI measures and experience with Python for data preparation tasks is a plus. You will liaise with business stakeholders to gather reporting requirements and ensure data accuracy and consistency. Knowledge of data governance best practices and experience with dbt for model documentation is valued.","Business Analyst"
49,"Reliability Engineer – GCP","We are hiring a Site Reliability Engineer with GCP expertise to ensure availability of our cloud-native services. You will manage GKE clusters, configure Cloud Run and Cloud Functions, and build observability pipelines using Cloud Monitoring and Cloud Logging. Strong experience with Terraform for GCP infrastructure provisioning and familiarity with GCP networking is required. You will define error budgets, build automated runbooks, and drive blameless post-mortems. Proficiency in Go or Python for SRE tooling, and experience with SLO-based alerting frameworks are expected. GCP Professional Cloud DevOps Engineer certification is a plus.","DevOps Engineer"
50,"Cybersecurity Architect","We are seeking a Cybersecurity Architect to design and govern our enterprise security architecture. You will define zero-trust network architectures, develop security reference models, and assess technology choices against security standards such as NIST CSF and ISO 27001. Deep expertise in identity and access management, PKI, encryption, and cloud security on AWS and Azure is required. You will lead security design reviews, produce threat models using STRIDE methodology, and work with engineering leadership to balance security with business agility. CISSP or SABSA certification is strongly preferred. 8+ years of information security experience with at least 3 in architecture roles required.","Cyber Security Analyst"
51,"Software Engineer – .NET","We are looking for a Software Engineer with strong .NET expertise to develop enterprise applications. You will design and build web APIs using C# and ASP.NET Core, integrate with SQL Server and Azure SQL databases, and develop event-driven workflows using Azure Service Bus. Experience with Entity Framework Core, Dependency Injection patterns, and unit testing with xUnit is required. Familiarity with Docker and deployment on Azure App Service or AKS is expected. You will participate in Agile sprints, conduct code reviews, and contribute to improving code quality standards. 3+ years of .NET development experience in a professional setting is required.","Software Engineer"
52,"Reinforcement Learning Engineer","We are hiring a Reinforcement Learning Engineer to develop autonomous decision-making systems. You will implement and experiment with RL algorithms including PPO, SAC, and DQN using PyTorch and OpenAI Gym / Gymnasium environments. Experience with simulation environments, reward shaping, and multi-agent systems is required. Familiarity with distributed training on GPU clusters and experiment tracking using Weights & Biases is a strong plus. You will collaborate with product teams to define reward objectives and with infrastructure engineers to scale training workloads on AWS or GCP. A Master's or PhD in machine learning, robotics, or a related field is preferred.","Machine Learning Engineer"
53,"IT Business Analyst – Healthcare","We are seeking an IT Business Analyst with healthcare domain knowledge to support EHR implementation and integration projects. You will analyze clinical workflows, gather requirements from physicians and nursing staff, and translate them into technical specifications for development teams. Strong knowledge of HL7 FHIR standards, healthcare data models, and regulatory requirements such as HIPAA is required. Experience with project management tools like JIRA and process modeling in BPMN is expected. Proficiency in SQL for data validation and reporting is a plus. You will act as a bridge between clinical stakeholders and technology vendors. 3+ years in health IT business analysis required.","Business Analyst"
54,"Cloud FinOps Analyst","We are looking for a Cloud FinOps Analyst to help optimize our cloud spend across AWS and Azure. You will analyze billing reports, identify cost anomalies, and implement tagging strategies and budget alerts. Experience with AWS Cost Explorer, Azure Cost Management, and tools like Apptio Cloudability is required. Proficiency in SQL or Python for custom cost analysis scripts is expected. You will work with engineering and finance teams to establish showback/chargeback models and define cost governance policies. Familiarity with Terraform for rightsizing and reserved instance planning is a plus. Knowledge of FinOps Foundation framework is highly valued.","Cloud Engineer"
55,"Data Analyst","We are seeking a Data Analyst to support decision-making across multiple business functions. You will write complex SQL queries against our Snowflake data warehouse, build dashboards in Looker and Google Data Studio, and perform exploratory data analysis using Python and Pandas. Strong analytical thinking and the ability to communicate data insights clearly to non-technical audiences is required. Experience with data cleaning, handling missing values, and applying basic statistical methods is expected. You will partner with product managers, marketing, and finance teams to define metrics and automate recurring reports. 2+ years of data analysis experience required.","Data Scientist"
56,"Backend API Developer","We are hiring a Backend API Developer to design and implement APIs powering our mobile and web applications. You will build RESTful and GraphQL APIs using Node.js and TypeScript, design schemas in PostgreSQL, and implement caching using Redis. Experience with authentication using OAuth 2.0 and JWT, and rate limiting and API gateway patterns is required. Familiarity with AWS Lambda and API Gateway for serverless deployments is a plus. You will write API documentation using OpenAPI/Swagger and maintain high code coverage using Jest and Supertest. 3+ years of backend Node.js development experience is expected.","Software Engineer"
57,"GCP Data Engineer","We are seeking a GCP Data Engineer to build robust data pipelines on Google Cloud Platform. You will design and deploy batch and streaming pipelines using Dataflow, Pub/Sub, and BigQuery, and orchestrate workflows with Cloud Composer (Airflow). Strong experience with SQL, Python, and Apache Beam is required. Familiarity with dbt for data transformation and Terraform for infrastructure-as-code on GCP is expected. You will implement data quality checks, manage access controls using IAM, and optimize BigQuery query performance. Experience with streaming analytics and event-driven architectures is a strong plus. GCP Professional Data Engineer certification is preferred.","Cloud Engineer"
58,"Junior DevOps Engineer","We are looking for a motivated Junior DevOps Engineer to join our infrastructure team. You will assist in maintaining CI/CD pipelines using Jenkins and GitHub Actions, manage Docker containers, and support deployments on AWS EC2 and ECS. Basic knowledge of Linux command line, Git workflows, and familiarity with Terraform is required. Willingness to learn Kubernetes and monitoring tools like Prometheus and Grafana is expected. You will support on-call rotations, document runbooks, and collaborate with development teams to troubleshoot deployment issues. This is an excellent entry-level opportunity for someone passionate about automation and infrastructure. A CS degree or equivalent experience is required.","DevOps Engineer"
59,"Senior NLP Engineer","We are seeking a Senior NLP Engineer to lead development of language AI features across our product suite. You will fine-tune and evaluate large language models using Hugging Face, build production-grade NLP pipelines for tasks like relation extraction, summarization, and dialogue systems. Deep expertise in transformer architectures, RLHF, and prompt engineering is required. Strong Python skills and experience with model serving using TorchServe or Triton Inference Server are expected. You will lead a small team of NLP engineers, define technical roadmaps, and collaborate with ML platform and product teams. 5+ years of NLP engineering with at least 1 LLM fine-tuning project in production required.","Machine Learning Engineer"
60,"Angular Developer","We are hiring an Angular Developer to build enterprise web applications for our internal tooling platform. You will develop components and modules using Angular 17 and TypeScript, consume REST APIs, and implement state management with NgRx. Strong knowledge of RxJS, Angular Material, and responsive CSS layout is required. Experience with Jest for unit testing and Cypress for end-to-end testing is expected. Familiarity with Docker for containerized local development and CI/CD pipelines using Azure DevOps is a plus. You will collaborate with backend engineers and UX designers in a cross-functional Agile team. 3+ years of Angular development experience is required.","Web Developer"
